saleid,productid,itemsize,quantity,saleprice
191961,850,7.5,1,45
191961,1208,7.5,1,60
191961,1235,10,1,24.69
191961,1238,11,1,25.19
191962,30,11.5,1,53.35
191963,30,10.5,1,54.45
191963,160,8,1,75
191963,177,6.5,1,77.89
191963,272,9.5,1,90
191963,272,11.5,2,90
191963,519,9,1,55.99
191964,696,8,1,59.15
191965,4,10.5,1,127.4
191965,390,9,2,45.99
191965,846,7.5,1,28.12
191965,1001,11.5,1,61.1
191965,1026,12.5,1,104.5
191965,1094,8,1,24.24
191965,1412,10.5,1,63.7
191966,434,12,1,73.5
191967,1375,8,1,36.47
191968,361,12,1,110.99
191968,545,5.5,1,27.59
191968,591,10,1,30.35
191968,1063,8.5,2,50
191968,1295,10.5,2,107.99
191969,306,11.5,2,39.59
191969,416,9,1,21.11
191969,857,11.5,1,168.3
191969,900,10.5,1,82.64
191969,1250,9,1,67.9
191970,254,7,1,40.58
191970,272,11.5,1,86.4
191970,1163,8,1,35.63
191971,1119,6.5,1,30.99
191972,1349,11.5,1,47
191973,961,9,1,33.29
191974,415,7.5,1,31.99
191974,714,5.5,1,17.99
191974,728,8.5,1,51.15
191974,869,10.5,1,70.98
191974,1036,11,1,140.99
191974,1206,12.5,1,58.41
191975,347,8,1,50.95
191975,860,10.5,1,88
191975,1056,10.5,1,55.8
191976,27,9.5,1,65
191976,353,11.5,1,59.99
191976,811,10.5,1,58.79
191976,1178,9,1,56.42
191976,1266,9,1,28.79
191976,1420,10.5,1,31.49
191977,219,10,1,22.07
191978,493,8,1,63.69
191978,729,8,1,58.5
191978,938,10.5,1,81
191978,1201,7.5,1,22.99
191979,306,11.5,1,41.35
191980,148,6,1,27.15
191981,1420,11.5,1,32.54
191982,976,7.5,1,48.59
191983,131,12,2,86.24
191984,1051,10,2,53.34
191984,1174,11,1,57.99
191984,1178,6,1,53
191984,1384,11.5,1,55.99
191984,1403,7.5,1,47.32
191985,113,12,1,83.7
191985,510,9,2,14.87
191985,519,10,1,50.95
191985,526,8,1,19.99
191985,635,7,1,18.61
191985,1079,9,2,52.07
191985,1315,12,2,44.09
191986,1094,8.5,2,23.49
191986,1189,9.5,2,107.8
191986,1332,10.5,1,98.7
191987,790,10,1,32.66
191988,136,11,1,95
191989,200,7,1,62.69
191989,809,11,1,29.43
191989,929,11.5,1,54.52
191989,986,7,1,50.48
191989,1120,10.5,2,72.8
191989,1204,8,1,72.37
191990,327,9.5,1,58.24
191991,105,8,1,38.21
191991,808,9,1,30.99
191991,915,9,1,75.2
191991,976,8,1,51.83
191991,1415,10.5,1,71.25
191992,272,8.5,1,83.7
191993,660,8,1,29.44
191993,685,11,1,25.21
191993,847,11,1,23.65
191993,915,10.5,2,80
191994,55,7.5,1,87.42
191994,136,11.5,1,91.2
191994,1094,11,1,24.99
191994,1119,7,1,30.99
191995,308,9.5,2,59.4
191995,973,10,1,46.07
191995,1249,10.5,1,130.95
191996,17,10.5,1,54.59
191996,293,11,1,51.7
191996,566,8.5,2,28.99
191996,989,11.5,1,103.4
191996,1068,11,1,47.99
191996,1072,7,2,17.99
191996,1313,11,1,27.89
191997,219,7.5,1,23.99
191997,416,11,1,19.79
191997,555,12,1,65
191997,610,9.5,1,48.99
191997,1393,9,2,30.08
191998,662,8.5,1,26.09
191999,220,7.5,1,23.99
191999,420,8.5,1,61.75
191999,495,10,1,70
191999,916,10.5,1,75
191999,940,12,1,42.74
191999,1205,9,1,62.99
191999,1434,9,1,75.2
192000,5,11,1,68.2
192000,476,10,2,23.27
192000,497,10,1,58.79
192000,905,10,1,20.01
192000,1038,8.5,1,116.39
192001,276,11.5,1,65.1
192001,566,7,1,28.41
192001,760,10,1,29.69
192001,814,6,2,38.21
192001,903,12,2,60.38
192001,1056,9.5,2,57.66
192002,252,6,1,31.34
192002,501,8,1,24.99
192002,893,9.5,1,61.73
192002,1286,8.5,2,85.5
192002,1364,7.5,1,36.99
192003,645,8,1,36
192003,915,9.5,1,72.8
192003,940,12,2,44.09
192003,1038,10,1,113.99
192003,1375,10.5,1,36.85
192004,971,9,1,14.55
192005,1232,9.5,1,72
192007,50,10.5,1,55.09
192007,330,6.5,1,33.66
192007,416,10,1,21.99
192007,590,10.5,2,21.77
192007,793,7.5,1,18.19
192007,1168,8.5,1,64.85
192007,1186,10.5,1,70
192008,184,7,1,26.59
192009,329,9,1,62.99
192009,419,7,1,27.99
192009,485,10,1,73.6
192009,965,9,1,25.19
192009,1255,11.5,1,68.86
192010,113,10.5,1,89.1
192010,652,10.5,1,43.64
192010,690,6,1,44.99
192010,722,7,1,68.31
192011,476,7.5,1,23.99
192012,569,10,1,53.99
192012,632,10,1,21.83
192012,691,6.5,1,36.99
192012,881,11.5,2,80.99
192012,1006,10,1,71.25
192012,1213,11.5,1,63.7
192013,622,9,1,45.99
192014,1358,10,1,54.99
192015,603,10,1,168
192016,376,8.5,1,46.52
192016,616,9,1,24.99
192016,755,10.5,2,37.59
192016,787,8.5,1,18.79
192016,1197,10.5,1,41.7
192017,56,9.5,2,88
192017,374,9.5,1,84.99
192017,861,12,2,105
192017,866,11.5,2,61.2
192017,1390,5.5,1,35.87
192017,1404,11.5,2,46.91
192018,131,11,1,88
192018,360,10,2,115.2
192018,1257,11.5,1,64.59
192019,272,10.5,1,83.7
192019,696,7,1,59.15
192019,963,12,1,64.99
192019,969,7.5,2,32.75
192020,223,11,1,29.69
192020,244,10,2,73.5
192020,408,11.5,1,100
192020,619,11,1,51.15
192020,887,10.5,1,75.65
192020,1067,12,1,59.39
192021,269,11,1,45.5
192021,651,11,1,46.99
192021,840,9.5,1,52.79
192022,775,9.5,1,56.72
192022,1168,10,2,66.23
192022,1181,11.5,1,45.99
192022,1196,7.5,1,29.39
192022,1236,10,1,25.1
192022,1244,5.5,1,16.14
192023,1126,10,1,30.59
192024,1060,11.5,1,52.8
192024,1393,10,1,29.76
192025,272,11.5,1,90
192026,1001,9,1,62.4
192027,1130,7,1,120
192028,97,9.5,1,37.59
192028,376,8.5,1,43.23
192028,599,11.5,1,41.35
192028,1166,5,1,64.16
192028,1310,7.5,1,27.15
192029,667,7.5,1,23.39
192030,497,10,2,57.59
192031,136,11,1,95
192032,811,9,1,57.59
192033,50,12,2,57.99
192033,92,12,1,21.84
192033,213,10,1,26.09
192033,328,6,1,16.65
192033,967,9,1,35.71
192033,1203,8.5,1,28.49
192033,1313,11,1,28.49
192034,136,11.5,1,95
192034,610,10.5,2,48.99
192035,1215,10.5,1,68.6
192036,289,9,1,16.65
192036,423,8.5,1,89.1
192036,590,10.5,1,20.23
192037,1067,12,1,61.37
192038,111,10.5,1,60.38
192038,436,11.5,1,72
192038,642,7.5,1,17.47
192038,1074,11.5,1,53.57
192039,26,8,1,104.5
192039,449,8,1,34.99
192039,605,9,1,12.87
192039,708,10,1,22.07
192039,971,6.5,1,15.99
192039,1319,8,1,55.5
192040,252,9,1,30.35
192040,356,9.5,2,125.54
192040,436,12,1,72.75
192040,1056,8.5,1,56.42
192040,1100,9,1,32.66
192041,187,12,1,29.44
192041,191,10,2,59.4
192041,602,8.5,1,24.24
192041,730,12,2,36.26
192041,942,7.5,1,40.94
192042,3,9.5,1,53.35
192042,315,8.5,1,54.6
192042,509,7,1,22.55
192042,511,8.5,2,15.67
192042,1056,10,1,57.04
192042,1226,11,1,68
192043,730,8,1,37.43
192043,915,11,1,76.8
192043,1414,10,1,79.2
192044,1126,10,2,33.99
192045,1326,9,1,48.87
192046,203,8.5,2,40.03
192046,1153,8.5,1,17.85
192047,1033,11.5,2,55.2
192048,105,8.5,1,36.65
192048,219,7.5,1,23.51
192048,589,6.5,1,16.37
192048,1381,8.5,2,75.65
192049,367,10,1,90.25
192049,765,9.5,1,66.5
192049,1235,9,1,23.91
192049,1364,8.5,1,36.25
192050,1280,11.5,1,111.14
192051,143,10,2,17.09
192051,208,9,2,27.71
192051,315,11.5,1,58.2
192051,461,7.5,1,23.99
192051,1295,12,1,99.35
192052,289,9.5,1,16.31
192053,1171,9,1,39.35
192054,1207,10,2,59.99
192055,187,12,1,32
192055,302,8,1,60.75
192055,366,10.5,1,59.8
192055,488,10.5,1,84.15
192055,844,8.5,1,48.5
192055,868,9,1,74
192055,1337,10.5,1,89.1
192056,881,9.5,1,80.99
192057,661,6.5,1,43.19
192058,131,11.5,1,83.6
192058,238,12,1,47
192058,315,9.5,2,54
192058,1018,8.5,2,43.56
192058,1214,11,1,61.19
192058,1238,7.5,1,25.75
192058,1408,9.5,1,51.51
192059,21,7.5,1,84.6
192059,139,11.5,1,40.94
192059,161,6,1,30.99
192059,929,11,1,53.94
192059,1359,12,1,99
192060,66,8,1,103.88
192060,137,11,1,69
192060,713,11.5,1,60.45
192060,942,6,1,41.84
192061,1207,10,1,56.99
192062,241,8,2,93.06
192062,681,10,1,37.2
192062,906,11,1,39.6
192062,915,8,1,80
192062,1134,10,1,80.35
192062,1203,11,1,26.99
192063,596,10,1,22.31
192064,1086,10.5,2,65.8
192065,408,11,1,95
192065,496,8.5,1,58.5
192065,1104,10.5,1,60
192065,1135,10.5,1,72.79
192065,1382,10.5,1,62.55
192066,279,7,1,31.01
192066,315,9.5,1,60
192066,815,9.5,2,106.7
192066,1227,9,1,66.96
192066,1239,9,1,29.39
192066,1394,5.5,1,53.19
192067,1293,10.5,1,100
192068,221,9,1,20.99
192068,556,6.5,2,34.19
192068,821,11,1,52.91
192068,901,12,1,103.78
192068,971,6.5,1,14.71
192068,1201,8.5,1,20.69
192068,1226,7.5,2,61.88
192069,668,8.5,2,24.99
192070,599,10.5,1,40.91
192070,944,6,1,30.99
192070,1270,11.5,1,63.99
192070,1330,11.5,1,47.99
192070,1335,11.5,1,41.15
192070,1391,5,1,31.01
192071,381,7,1,14.54
192071,582,10,1,41.15
192071,700,9.5,1,40.03
192071,821,7,1,50.75
192071,823,7,1,126.96
192072,1256,10.5,2,34.99
192073,276,11.5,1,68.6
192073,436,9.5,1,72.75
192073,1368,10,1,20.57
192074,66,9.5,1,101.76
192074,381,6.5,1,13.94
192074,555,9.5,1,59.8
192074,922,9.5,1,37.3
192074,1171,10,1,40.99
192075,916,10,1,72.75
192076,327,8,1,59.52
192077,1005,11.5,1,75.2
192078,353,10.5,1,59.99
192078,998,7,1,33.11
192078,1003,12,1,74.1
192078,1005,10.5,1,78.4
192078,1207,9.5,1,56.99
192078,1342,8.5,1,37.99
192079,137,10.5,2,67.5
192079,252,7.5,1,32
192079,352,11.5,1,85
192079,421,7,1,23.51
192079,765,12,1,67.9
192079,1298,6,1,15.8
192080,1261,12,1,29.99
192081,1074,11.5,1,51.86
192082,276,9.5,1,66.5
192082,1229,10,1,39.99
192083,868,8.5,1,68.08
192084,1072,8,1,16.73
192085,208,10,1,26.59
192085,493,11.5,1,60.44
192085,955,8.5,1,20.01
192085,1109,10,2,13.94
192085,1404,11.5,2,48.95
192086,859,11,1,66.23
192087,1204,8,1,76.99
192088,417,10.5,1,29.39
192089,382,10,1,25.47
192089,915,7,1,73.6
192089,940,11,1,43.64
192090,869,9.5,1,70.98
192090,1045,11,1,41.57
192090,1418,7.5,1,35.99
192091,436,12,2,69.75
192091,501,8,1,24.99
192091,611,7.5,1,50.99
192091,1128,10,2,71.25
192091,1215,11,1,70
192091,1217,8,1,74.4
192091,1290,12,1,96.99
192092,719,9.5,2,60.45
192093,241,10,2,99
192093,416,10,1,20.89
192093,516,9,1,20.99
192093,691,9,1,35.14
192093,927,9.5,1,59.4
192093,1062,12,1,52.8
192094,641,9,1,21.84
192095,681,7,1,38.8
192095,962,9.5,1,42.56
192095,1223,10.5,1,62.3
192095,1276,12.5,1,36.79
192096,599,11,1,40.47
192097,56,9.5,2,83.6
192098,735,11.5,1,45.99
192098,940,8,1,44.99
192098,1325,8,1,42.74
192098,1332,9,1,105
192099,1191,12,1,55
192100,56,7,1,83.6
192100,621,10.5,2,12.21
192100,987,11,1,25.47
192100,1017,6,1,22.07
192100,1260,8,1,49.13
192101,555,11,1,61.1
192102,965,11,1,27.99
192103,272,11,1,85.5
192103,417,12,1,29.99
192103,1118,9.5,1,33.47
192103,1121,11,1,37.3
192103,1163,6.5,1,33.11
192103,1226,9.5,1,63.92
192104,789,7.5,1,38.8
192105,230,9,1,40.94
192105,805,9.5,1,23.99
192106,339,10,1,41.39
192106,360,11.5,1,110.4
192106,735,11.5,1,49.99
192106,793,10.5,1,18.39
192106,1001,12,1,64.35
192107,1055,11,1,40.73
192108,994,6.5,1,22.76
192109,136,11.5,1,95
192109,700,10.5,1,41.79
192109,963,9.5,1,60.44
192109,963,11,1,59.79
192109,1031,8.5,1,48.87
192109,1055,9,1,39.89
192110,276,8,2,67.2
192110,360,11,1,118.8
192110,364,11,1,66.5
192110,616,8,1,23.99
192110,974,9,1,34.99
192110,1011,11,1,55.19
192110,1295,9,1,98.27
192111,349,9.5,1,49.49
192111,435,9,2,82.45
192111,444,12,1,59.8
192111,495,10.5,1,66.5
192111,694,8.5,1,51.4
192111,931,8,1,14.24
192111,963,12,1,64.99
192112,122,10,1,30.02
192112,725,7,1,23.75
192112,1207,10.5,2,54.59
192112,1280,11.5,1,114.65
192112,1408,11,2,54.87
192113,87,10.5,2,14.39
192113,916,11.5,1,69
192113,1270,9.5,1,60.15
192113,1291,9.5,1,63.05
192114,5,11.5,1,73.45
192114,338,11,1,17.27
192114,384,7,1,10.22
192114,765,11,1,70
192114,870,10.5,1,81.84
192114,1346,8.5,1,29.99
192115,22,5.5,1,85
192116,557,8.5,1,29.99
192117,1392,10.5,1,45.07
192118,681,11,1,40
192118,793,10.5,1,18.39
192118,1105,9,1,64.35
192118,1163,7.5,1,33.83
192118,1313,11,1,28.19
192119,603,9,1,157.92
192119,786,10,1,23.99
192119,800,11.5,1,37.79
192119,1036,8,1,149.99
192119,1203,8.5,1,29.99
192119,1238,7.5,1,25.75
192119,1250,9.5,1,66.5
192120,276,11.5,1,65.1
192121,635,8,1,18.61
192122,1186,12,2,67.9
192123,14,11,1,120
192123,254,6.5,1,38.94
192123,657,7,2,8.36
192123,1144,7.5,1,86.39
192124,99,5.5,1,18.99
192124,122,8.5,2,32.99
192124,425,9.5,1,66.24
192124,1100,10,2,32.99
192124,1313,11,1,29.69
192125,594,9,1,140.99
192125,1009,9.5,1,63.91
192125,1081,11.5,1,57.22
192125,1434,10,1,80
192126,273,11.5,1,45
192126,727,6.5,1,27.54
192126,886,9.5,1,57.99
192126,1001,8,1,63.7
192126,1004,8,1,89.1
192126,1185,11,1,72.8
192126,1312,11,1,20.89
192127,1257,9.5,1,65.27
192128,730,8.5,1,35.87
192129,54,12,1,96
192129,487,12,1,79.9
192129,665,5,2,28.41
192129,854,10,1,100
192129,900,9.5,1,85.25
192129,1001,9.5,1,61.1
192130,21,11,1,81
192131,244,10,1,71.25
192131,360,11.5,1,120
192131,588,6,1,38.4
192131,644,5.5,1,23.39
192131,897,11.5,1,78.99
192131,937,11.5,1,62.07
192132,300,9.5,1,52.37
192132,345,8,1,68.6
192132,662,8,1,28.41
192132,696,11.5,1,65
192132,866,11.5,2,61.88
192132,1358,11,1,52.24
192133,351,12,1,86.4
192133,897,11,1,78.2
192133,1094,10,2,23.99
192133,1150,9.5,1,79.99
192134,853,9.5,1,89.28
192135,42,12,1,29.4
192135,1021,11,1,79.2
192135,1189,9.5,2,108.9
192135,1195,11,1,86.12
192135,1215,10.5,1,63
192135,1393,9,1,31.04
192136,862,9,1,64.31
192136,881,10.5,1,82.79
192136,897,10.5,1,75.83
192137,233,11.5,2,55
192137,335,11,2,94.05
192137,366,11.5,1,61.75
192137,424,9,1,29.09
192137,520,9.5,1,16.37
192137,1161,11,1,14.55
192138,731,8,1,11.99
192139,330,6.5,1,34.77
192139,344,8,1,50.99
192139,696,10,1,65
192139,916,11.5,1,71.25
192140,352,10.5,1,79.9
192140,445,11.5,1,63.7
192140,537,10,1,65.33
192140,632,7.5,1,23.75
192140,1213,11.5,1,65.1
192140,1248,11,1,89.1
192140,1334,10,1,39.35
192141,113,11.5,1,88.2
192141,129,9.5,1,51.86
192141,545,10,1,29.99
192141,630,10.5,1,45.99
192141,1238,11,1,27.15
192142,988,11.5,2,34.64
192143,476,11,1,23.75
192144,203,8,1,41.35
192145,810,11,1,58.5
192146,437,9.5,2,72
192146,814,6,1,36.65
192146,1063,7.5,1,47
192146,1138,7,1,62.55
192146,1291,12,1,65
192146,1340,8.5,1,77.21
192147,416,11,1,21.11
192147,519,6.5,1,53.19
192147,599,7.5,1,40.91
192147,1103,10.5,1,20.89
192148,131,9.5,1,82.72
192148,442,11.5,1,49.97
192148,580,9,1,35.99
192148,981,7.5,1,56.72
192148,1189,8.5,1,105.6
192149,445,11.5,1,63
192149,552,11,1,54.99
192149,638,7.5,1,24.99
192149,1055,10.5,1,41.99
192149,1062,11,2,52.8
192149,1240,11,1,29.99
192150,1023,9.5,1,19.1
192151,1237,7.5,1,29.44
192152,21,10.5,1,90
192152,118,7,1,21.77
192152,304,9,1,51.15
192152,944,7.5,1,30.68
192152,1005,10.5,1,76.8
192153,234,11,2,70
192153,276,12,1,70
192153,602,9.5,1,24.74
192153,1024,8,1,21.99
192153,1290,11.5,2,90.2
192153,1399,11,1,55.19
192154,9,10,1,71.95
192154,585,8.5,1,20.89
192154,1200,7.5,1,57
192155,142,10,1,53.99
192155,632,9,1,23.75
192155,770,6.5,1,18.99
192155,1341,7,1,23.74
192156,545,10,1,29.99
192157,420,10.5,1,60.45
192158,1385,11.5,1,63.24
192159,192,10,2,35.09
192159,1079,10.5,1,55.43
192160,864,8.5,2,111.59
192161,1219,9,1,63
192162,156,10.5,1,65.33
192162,259,7,1,21.38
192162,338,10,1,16.91
192162,501,5.5,1,24.99
192162,756,12,1,46.99
192162,1196,8.5,1,29.99
192162,1398,11.5,1,63.69
192163,1270,10,1,60.79
192164,255,10,1,39.05
192165,213,8,2,28.99
192165,257,10,2,25.75
192165,924,11.5,1,49.99
192165,1009,11,1,65.95
192165,1363,9.5,1,23.74
192166,78,10.5,1,52.24
192167,1381,5,2,70.19
192168,696,8.5,1,65
192168,791,7,1,33.11
192168,973,9,2,43.67
192168,1001,10.5,1,61.1
192168,1407,5,1,15.29
192168,1420,8.5,1,32.54
192168,1434,11.5,1,72.8
192169,104,8,2,36.89
192169,366,11.5,1,64.35
192169,408,9.5,1,92
192169,1121,8.5,1,36.89
192169,1215,11,1,70
192169,1266,10,1,27.89
192170,25,10,1,94
192170,130,7,1,21.61
192170,148,7,2,25.75
192170,208,9,1,26.31
192170,631,7,1,20.23
192170,806,8,1,16.82
192170,1329,11.5,1,37.71
192171,259,7,1,20.92
192171,354,12,1,64.35
192171,915,9,1,77.6
192171,1020,8.5,1,54.6
192171,1055,9,1,39.89
192171,1063,11,1,45.5
192171,1404,11.5,2,46.91
192172,1061,10.5,1,82
192173,228,8.5,1,38.99
192173,638,9,1,22.74
192173,708,11,1,23.75
192173,1055,12,1,39.47
192173,1087,12,1,58.5
192173,1229,8,1,39.19
192173,1381,12,1,74.09
192174,21,12,1,90
192174,263,6,1,53.75
192174,308,11.5,1,60
192174,334,12,1,72
192174,1087,8.5,1,61.75
192175,995,10,1,23.75
192176,78,9,1,54.44
192177,846,10,1,28.99
192177,911,8.5,1,32.97
192177,1001,11.5,1,61.75
192177,1189,10.5,1,100.1
192177,1381,11,1,75.65
192178,27,8.5,1,62.4
192179,376,10,1,46.52
192179,491,9.5,1,49.99
192179,556,8.5,1,34.19
192179,620,7,1,147
192180,893,8,1,59.21
192181,178,11,2,51.47
192181,925,12,1,58
192181,998,6.5,1,35.63
192181,1063,10,1,46.5
192182,740,10.5,1,59.39
192182,954,9.5,2,27.89
192182,1150,10.5,1,75.19
192183,444,12,1,63.7
192184,179,10.5,1,48.49
192184,420,11.5,1,64.35
192184,555,8.5,1,59.8
192184,649,11,1,70
192184,730,12,1,35.87
192184,1408,8.5,2,54.87
192185,162,10.5,1,47.99
192186,545,7.5,1,26.99
192186,796,6.5,1,24.74
192186,942,8.5,1,42.29
192186,975,7,1,65.8
192187,269,9,1,45.5
192187,328,8.5,1,16.14
192187,419,9,1,26.31
192187,630,10,1,45.07
192187,850,11,2,42.75
192187,954,10.5,2,27.29
192187,967,7.5,1,36.09
192188,178,9.5,1,51.47
192188,596,8,1,21.83
192188,696,11,1,59.15
192188,818,8.5,1,30.93
192188,926,11.5,1,54.52
192188,935,10,1,80
192188,1418,7.5,2,35.99
192189,766,9.5,1,63.05
192190,426,11,1,53.09
192191,652,10.5,1,41.39
192192,1391,10.5,1,32.99
192193,445,11,1,63.7
192194,1097,7.5,1,35.48
192195,847,8.5,1,23.65
192195,867,7.5,1,53.89
192195,1223,10.5,1,60.29
192195,1311,12,1,69.91
192196,1121,10,1,40.99
192197,773,10.5,1,80.63
192198,984,10,1,55
192199,250,11.5,1,60.13
192200,658,8.5,2,38.6
192200,924,11,1,49.99
192201,1312,8,1,21.55
192202,199,7,1,15.99
192203,74,8.5,2,69.91
192204,1400,10,1,70.55
192205,41,8,1,34.3
192206,57,11.5,1,98
192206,1081,11.5,1,58.99
192206,1094,10,2,23.99
192207,824,8,2,56.99
192208,962,10.5,1,42.13
192209,153,8,2,56.4
192209,220,10,1,21.83
192209,417,9,1,27.59
192209,900,12,2,80.03
192209,1061,9,2,77.9
192209,1323,9,1,26.03
192210,1256,9.5,1,32.89
192211,813,12,1,45.99
192211,1030,8.5,1,15.99
192211,1065,8,2,30.35
192211,1200,10,1,60
192211,1256,10,1,33.59
192212,25,10.5,1,97
192212,408,7.5,1,90
192212,465,7,2,36.09
192212,1226,11,1,68
192212,1270,11.5,1,62.71
192212,1373,9,2,17.81
192212,1393,10,1,30.4
192213,36,7.5,1,44.61
192213,755,11,1,39.99
192213,1261,9,1,26.99
192214,1002,9.5,2,20.69
192215,853,12,2,93.12
192216,232,11.5,1,52.8
192216,476,11,1,23.27
192216,856,11,1,60.96
192216,1203,11,1,28.19
192217,172,7,1,17.66
192218,232,11.5,1,51.15
192218,668,7.5,1,23.24
192218,696,11.5,1,59.15
192218,922,9.5,2,40.17
192218,1150,8.5,1,79.19
192219,50,12,1,57.99
192220,465,7.5,1,34.57
192221,915,10.5,2,76
192222,708,11,1,22.31
192223,395,8,1,66.64
192224,584,9,1,95.39
192225,332,10,1,76.5
192225,908,9.5,1,82.45
192225,969,8.5,1,35.63
192226,151,10,1,42.99
192226,627,7,1,24.56
192226,848,10,1,59.52
192226,897,10.5,2,71.88
192226,1012,10,1,79.2
192226,1288,8.5,1,20.01
192227,1295,11,1,107.99
192228,54,11.5,1,100
192228,228,7.5,1,37.43
192228,276,9,1,67.9
192228,392,7,1,33.99
192228,696,10.5,1,63.7
192228,763,7,1,34.95
192229,26,8.5,1,100.1
192230,196,7.5,1,22.3
192231,882,12,1,79.79
192232,183,10,1,26.99
192232,499,9.5,1,52.79
192232,822,9.5,1,31.61
192233,1035,10.5,1,56.39
192233,1037,8.5,1,116.99
192233,1310,8.5,1,25.75
192233,1425,9.5,1,46.55
192234,131,9.5,1,80.08
192234,520,8,1,17.81
192234,552,7.5,1,50.59
192234,1098,10,1,35.09
192235,642,10,1,17.09
192235,814,8,1,35.09
192235,829,9,1,44.55
192235,1201,7.5,1,21.15
192235,1215,11.5,2,65.1
192235,1280,10.5,1,111.14
192236,200,10,2,62.03
192236,204,8,1,33.59
192237,136,7.5,1,91.2
192238,147,9,1,31.99
192238,272,11,1,85.5
192238,308,8.5,2,56.4
192238,584,10.5,1,105.99
192238,1189,11,1,102.3
192239,229,11,1,52.63
192240,368,10.5,1,48.44
192240,696,12,1,60.45
192240,860,10.5,1,86.24
192240,1128,11.5,1,72
192241,385,9,1,38.99
192241,696,11.5,1,61.75
192241,954,10.5,1,27.89
192241,1415,8,1,70.5
192242,374,7.5,1,84.14
192242,434,9,1,71.25
192242,493,12,1,61.09
192242,578,11.5,1,34.57
192242,950,11,1,27.99
192242,1206,12.5,1,54.28
192243,1393,12,1,32
192244,702,7.5,2,36.62
192245,560,8.5,1,47.99
192246,485,10.5,1,76
192247,1001,7.5,1,62.4
192248,97,9,2,39.19
192249,681,10,2,36
192249,800,11.5,1,41.57
192249,823,9,1,132.48
192249,916,11,1,67.5
192249,937,11.5,1,57.59
192249,1279,7.5,1,104.99
192250,228,8,1,35.87
192251,137,10,1,74.25
192251,616,6,1,24.99
192251,869,11,1,78
192251,885,10,1,60.15
192252,263,8.5,1,50.95
192253,1266,9.5,1,29.99
192254,202,10,1,41.4
192254,539,6,1,70.49
192254,903,11.5,2,60.99
192254,916,11.5,1,67.5
192255,696,11,1,61.1
192255,730,10,2,37.43
192256,111,11.5,1,55.5
192256,408,11,1,91
192256,496,12,1,63.7
192256,543,7.5,2,22.49
192256,696,10,2,61.75
192256,976,8.5,1,53.99
192257,620,11,1,139.5
192257,1267,8.5,2,17.66
192259,23,11.5,1,62.4
192259,242,7,1,30.35
192259,293,11.5,1,53.35
192260,200,9.5,2,59.39
192261,758,12,1,48.59
192262,59,9,1,90
192262,421,11,2,23.75
192262,658,8,1,38.21
192262,686,10.5,2,37.61
192262,964,11.5,1,52.63
192262,1215,11,2,69.3
192262,1358,12,2,53.89
192263,1319,11,1,56.11
192264,958,10.5,2,69.75
192264,1215,11.5,2,70
192264,1295,11.5,1,106.91
192265,955,10,1,21.55
192265,1001,11.5,1,60.45
192265,1181,10,1,45.99
192266,416,8.5,1,20.67
192267,1226,9.5,1,61.2
192268,21,11.5,1,84.6
192269,709,12,1,33.31
192270,1342,5.5,2,36.09
192271,1082,11.5,1,58.99
192272,111,9.5,2,57.33
192273,681,7,1,36.4
192274,46,12,1,27.89
192274,215,9.5,2,39.99
192274,373,11,1,27.54
192274,870,12,1,79.2
192274,878,10.5,2,76.62
192274,1315,11.5,1,42.29
192275,9,9.5,1,72.7
192275,74,9.5,1,71.43
192275,351,10.5,2,81.9
192275,380,9.5,1,77.6
192275,485,10,1,72
192275,939,9.5,1,88.2
192275,1076,11,1,82.8
192276,136,10,1,91.2
192277,457,7.5,1,21.61
192277,660,8,1,28.51
192277,850,8.5,1,44.1
192277,881,11.5,2,84.59
192277,1052,9.5,1,60
192278,514,6,1,16.82
192278,559,10.5,1,70.49
192278,897,12,1,76.62
192278,902,9.5,2,57.03
192279,537,9,1,63.35
192280,376,7,2,46.05
192281,1293,11,1,91
192282,364,12,1,69.3
192282,878,8.5,1,77.41
192282,1212,11.5,1,65.99
192282,1214,10,1,66.63
192282,1215,10.5,1,67.2
192283,1413,12,2,71.99
192284,329,10.5,1,69.99
192284,1291,11.5,1,65
192284,1408,10.5,2,54.87
192285,1266,8.5,1,28.49
192286,146,10,1,51.86
192286,242,11,2,31.34
192286,751,11,1,40.17
192287,958,9,1,70.5
192288,485,9.5,1,76
192288,565,6.5,2,26.09
192288,899,7.5,1,61.09
192288,927,10.5,1,54
192288,950,10,2,27.71
192289,426,9,1,57.81
192289,916,8,2,72.75
192290,1236,7.5,2,26.18
192291,25,10,1,100
192292,526,11,1,18.79
192292,984,11.5,1,54.45
192292,1062,12,1,55
192293,506,7.5,1,13.94
192294,417,8.5,1,28.49
192295,225,10,1,27.59
192296,436,12,1,75
192297,254,6.5,1,38.53
192298,566,7,1,28.99
192298,742,9.5,2,64.16
192298,938,9.5,1,86.4
192298,1062,9.5,1,55
192298,1168,10.5,1,63.47
192298,1206,10,1,53.69
192299,765,11.5,1,65.1
192299,809,11,1,29.43
192299,847,10,2,25.99
192299,1033,10.5,1,55.8
192299,1249,10.5,1,126.9
192300,1358,10.5,1,51.14
192301,886,12,1,55.67
192302,1174,9,2,57.99
192303,465,6.5,1,37.99
192304,915,11.5,1,77.6
192304,958,9,1,72
192304,971,8.5,1,15.67
192304,1255,9.5,1,63.89
192304,1330,11.5,2,46.07
192304,1337,11,1,90
