saleid,saledate,customerid,tax,shipping
191958,2014-05-10,7692,0,52.96
191959,2014-05-10,7166,0,42.67
191960,2014-05-10,10491,0,9.95
191961,2014-05-11,2723,0,37.55
191962,2014-05-11,1799,0,9.95
191963,2014-05-11,15866,0,50.08
191964,2014-05-11,13568,0,9.95
191965,2014-05-12,14846,0,51.82
191966,2014-05-12,13325,0,9.95
191967,2014-05-12,14396,0,9.95
191968,2014-05-12,11732,0,49.12
191969,2014-05-12,3965,0,45.45
191970,2014-05-12,118,0,27.62
191971,2014-05-12,17996,0,9.95
191972,2014-05-12,1440,0,9.95
191973,2014-05-12,7454,0,9.95
191974,2014-05-12,4897,0,44.59
191975,2014-05-12,15067,0,28.4
191976,2014-05-12,11405,0,42.85
191977,2014-05-13,3711,0,9.95
191978,2014-05-13,957,0,34.23
191979,2014-05-13,4620,0,9.95
191980,2014-05-13,3158,0,9.95
191981,2014-05-13,7709,0,9.95
191982,2014-05-14,15444,0,9.95
191983,2014-05-14,2242,0,21.43
191984,2014-05-14,5894,0,43.37
191985,2014-05-15,13787,0,52.79
191986,2014-05-15,3338,0,40.95
191987,2014-05-15,12787,0,9.95
191988,2014-05-15,4182,0,9.95
191989,2014-05-16,2118,0,48.2
191990,2014-05-16,4637,0,9.95
191991,2014-05-16,18164,0,39.03
191992,2014-05-16,11740,0,9.95
191993,2014-05-16,17909,0,38.31
191994,2014-05-16,18015,0,34.27
191995,2014-05-16,15364,0,35.43
191996,2014-05-16,3667,0,51.05
191997,2014-05-17,8716,0,41.19
191998,2014-05-17,7095,0,9.95
191999,2014-05-17,5809,0,47.76
192000,2014-05-18,13837,0,43.21
192001,2014-05-18,5884,0,52.19
192002,2014-05-18,11352,0,46.42
192003,2014-05-18,12426,0,44.07
192004,2014-05-18,13368,0,9.95
192005,2014-05-18,12767,0,9.95
192006,2014-05-18,1561,0,9.95
192007,2014-05-19,17357,0,47.8
192008,2014-05-19,195,0,9.95
192009,2014-05-19,1271,0,38.99
192010,2014-05-19,14732,0,34.35
192011,2014-05-20,953,0,9.95
192012,2014-05-20,15490,35.2,48.12
192013,2014-05-20,1165,0,9.95
192014,2014-05-20,10523,0,9.95
192015,2014-05-20,4611,0,9.95
192016,2014-05-20,14487,0,41.01
192017,2014-05-20,1096,0,59.37
192018,2014-05-21,14436,0,37.29
192019,2014-05-21,2039,0,39.29
192020,2014-05-21,13439,0,48.9
192021,2014-05-21,17113,0,27.38
192022,2014-05-21,316,0,45.7
192023,2014-05-21,6753,0,9.95
192024,2014-05-21,5845,0,19.65
192025,2014-05-22,6169,0,9.95
192026,2014-05-22,2126,0,9.95
192027,2014-05-22,3350,0,9.95
192028,2014-05-22,4161,0,38.01
192029,2014-05-22,15380,0,9.95
192030,2014-05-22,2874,0,20.31
192031,2014-05-22,6591,0,9.95
192032,2014-05-22,15996,0,9.95
192033,2014-05-22,1089,0,47.06
192034,2014-05-22,4212,15.44,28.14
192035,2014-05-22,5549,0,9.95
192036,2014-05-24,7916,0,26.86
192037,2014-05-24,8072,0,9.95
192038,2014-05-24,13618,0,33.61
192039,2014-05-24,8172,0,41.91
192040,2014-05-25,3528,0,46.17
192041,2014-05-25,2280,0,45.32
192042,2014-05-25,12458,0,45.34
192043,2014-05-25,1246,0,28.26
192044,2014-05-25,9669,5.44,19.27
192045,2014-05-25,12224,4.16,9.95
192046,2014-05-25,6269,0,26.42
192047,2014-05-26,16355,0,20.31
192048,2014-05-26,6189,0,38.19
192049,2014-05-26,2724,18.24,33.93
192050,2014-05-26,11200,0,9.95
192051,2014-05-27,5948,0,45.04
192052,2014-05-27,12270,0,9.95
192053,2014-05-27,10586,0,9.95
192054,2014-05-27,10680,0,20.31
192055,2014-05-27,17686,0,48.46
192056,2014-05-27,905,0,9.95
192057,2014-05-27,1712,0,9.95
192058,2014-05-27,11671,0,53.03
192059,2014-05-27,14228,0,40.13
192060,2014-05-28,3203,0,35.19
192061,2014-05-28,9233,0,9.95
192062,2014-05-28,17733,0,48.72
192063,2014-05-28,3943,0,9.95
192064,2014-05-28,3149,0,20.71
192065,2014-05-28,14490,0,40.91
192066,2014-05-28,11018,0,48.74
192067,2014-05-29,13490,0,9.95
192068,2014-05-29,10496,0,51.73
192069,2014-05-29,6512,0,18.91
192070,2014-05-29,5314,0,41.95
192071,2014-05-29,14574,0,39.31
192072,2014-05-29,11616,0,19.31
192073,2014-05-29,12881,13.28,27.6
192074,2014-05-29,2587,0,38.81
192075,2014-05-29,2129,0,9.95
192076,2014-05-29,15081,0,9.95
192077,2014-05-30,6992,0,9.95
192078,2014-05-30,7945,0,43.75
192079,2014-05-30,13836,0,46.9
192080,2014-05-30,7972,0,9.95
192081,2014-05-30,9416,0,9.95
192082,2014-05-30,2450,8.8,20.11
192083,2014-05-30,14614,0,9.95
192084,2014-05-30,15061,0,9.95
192085,2014-05-30,11277,0,44.26
192086,2014-05-31,10975,0,9.95
192087,2014-05-31,1684,0,9.95
192088,2014-05-31,10387,0,9.95
192089,2014-05-31,6382,0,27.3
192090,2014-05-31,9061,0,27.4
192091,2014-05-31,6725,0,55.53
192092,2014-05-31,42,0,20.51
192093,2014-05-31,9325,31.44,47.18
192094,2014-05-31,12795,0,9.95
192095,2014-06-01,10941,0,33.17
192096,2014-06-01,12391,3.52,9.95
192097,2014-06-01,9918,0,21.43
192098,2014-06-01,12920,0,34.27
192099,2014-06-01,118,0,9.95
192100,2014-06-01,12911,0,44.2
192101,2014-06-01,5425,0,9.95
192102,2014-06-01,1376,0,9.95
192103,2014-06-02,16771,0,42.73
192104,2014-06-02,17172,3.2,9.95
192105,2014-06-02,3941,0,19.29
192106,2014-06-02,15400,0,39.47
192107,2014-06-02,12779,0,9.95
192108,2014-06-02,8042,0,9.95
192109,2014-06-03,13018,0,43.97
192110,2014-06-03,7806,0,52.56
192111,2014-06-03,3085,0,51.26
192112,2014-06-03,16950,0,47.44
192113,2014-06-03,441,0,38.13
192114,2014-06-03,5771,0,42.55
192115,2014-06-03,15814,0,9.95
192116,2014-06-03,17253,2.4,9.95
192117,2014-06-04,8396,0,9.95
192118,2014-06-04,10735,0,37.27
192119,2014-06-04,18419,0,49.56
192120,2014-06-04,7163,0,9.95
192121,2014-06-05,4713,0,9.95
192122,2014-06-05,319,0,20.71
192123,2014-06-05,7661,0,38.95
192124,2014-06-06,14483,0,44.38
192125,2014-06-06,11575,0,36.33
192126,2014-06-06,1233,0,47.2
192127,2014-06-06,16521,5.44,9.95
192128,2014-06-06,7813,0,9.95
192129,2014-06-06,6917,0,49.22
192130,2014-06-06,13258,0,9.95
192131,2014-06-06,8921,0,44.79
192132,2014-06-06,17279,0,47.5
192133,2014-06-06,2054,0,39.43
192134,2014-06-06,5509,0,9.95
192135,2014-06-06,4156,0,49.7
192136,2014-06-07,13837,0,29
192137,2014-06-07,13925,0,49.98
192138,2014-06-07,9603,0,9.95
192139,2014-06-08,8984,0,33.93
192140,2014-06-08,5997,0,48.24
192141,2014-06-08,2483,20.08,38.47
192142,2014-06-08,1208,0,19.31
192143,2014-06-08,1112,0,9.95
192144,2014-06-08,16078,0,9.95
192145,2014-06-08,10466,0,9.95
192146,2014-06-08,10238,0,48.32
192147,2014-06-08,16096,11.52,32.25
192148,2014-06-09,13168,0,40.37
192149,2014-06-09,3036,0,45.96
192150,2014-06-09,8465,0,9.95
192151,2014-06-10,2265,0,9.95
192152,2014-06-10,4995,0,39.01
192153,2014-06-10,15437,0,51.62
192154,2014-06-10,12327,0,27.42
192155,2014-06-10,6713,0,31.81
192156,2014-06-10,5995,0,9.95
192157,2014-06-11,6844,0,9.95
192158,2014-06-11,15996,0,9.95
192159,2014-06-11,17456,0,26.96
192160,2014-06-11,13836,0,22.71
192161,2014-06-11,9918,0,9.95
192162,2014-06-11,15128,0,44.8
192163,2014-06-12,8106,0,9.95
192164,2014-06-12,11774,0,9.95
192165,2014-06-12,10793,0,44.46
192166,2014-06-12,13233,4.4,9.95
192167,2014-06-13,8365,0,21.03
192168,2014-06-13,11409,0,49.28
192169,2014-06-13,3786,0,47.08
192170,2014-06-13,8393,0,47.14
192171,2014-06-13,1010,0,49.84
192172,2014-06-13,3582,0,9.95
192173,2014-06-13,10326,0,45.58
192174,2014-06-13,1467,0,40.47
192175,2014-06-14,7497,0,9.95
192176,2014-06-14,9862,0,9.95
192177,2014-06-14,11876,0,43.73
192178,2014-06-14,7129,0,9.95
192179,2014-06-15,2963,0,35.07
192180,2014-06-15,11165,0,9.95
192181,2014-06-15,17497,0,38.41
192182,2014-06-15,10143,0,37.79
192183,2014-06-15,3703,0,9.95
192184,2014-06-15,7928,0,47.34
192185,2014-06-15,6306,0,9.95
192186,2014-06-15,17349,0,32.77
192187,2014-06-15,6375,0,49.65
192188,2014-06-16,11025,0,49.1
192189,2014-06-16,2632,0,9.95
192190,2014-06-16,10466,0,9.95
192191,2014-06-17,9679,0,9.95
192192,2014-06-17,6818,2.64,9.95
192193,2014-06-17,8011,0,9.95
192194,2014-06-17,1981,0,9.95
192195,2014-06-18,18435,0,33.85
192196,2014-06-18,12560,0,9.95
192197,2014-06-18,7287,0,9.95
192198,2014-06-18,2119,0,9.95
192199,2014-06-18,5814,0,9.95
192200,2014-06-18,17822,10.24,26.84
192201,2014-06-18,4146,0,9.95
192202,2014-06-18,11310,0,9.95
192203,2014-06-18,17645,0,20.95
192204,2014-06-18,7983,0,9.95
192205,2014-06-18,4058,0,9.95
192206,2014-06-19,3453,16.56,33.51
192207,2014-06-20,13057,0,20.19
192208,2014-06-20,15023,0,9.95
192209,2014-06-20,9992,0,53.87
192210,2014-06-20,15285,0,9.95
192211,2014-06-20,16320,0,41.25
192212,2014-06-21,15002,38.08,52.59
192213,2014-06-21,10003,0,26.6
192214,2014-06-21,12779,0,18.83
192215,2014-06-21,2280,0,21.75
192216,2014-06-21,3091,0,32.89
192217,2014-06-21,5955,0,9.95
192218,2014-06-21,5013,0,42.85
192219,2014-06-21,2617,0,9.95
192220,2014-06-22,8493,3.04,9.95
192221,2014-06-22,8626,0,21.11
192222,2014-06-22,4696,0,9.95
192223,2014-06-23,11553,0,9.95
192224,2014-06-23,12183,0,9.95
192225,2014-06-23,3044,0,28.4
192226,2014-06-23,1170,0,47.2
192227,2014-06-23,15358,8.64,9.95
192228,2014-06-23,10049,0,46.88
192229,2014-06-23,7251,0,9.95
192230,2014-06-23,13020,0,9.95
192231,2014-06-23,7340,0,9.95
192232,2014-06-24,12911,0,26.6
192233,2014-06-24,10238,0,34.69
192234,2014-06-24,13098,0,33.37
192235,2014-06-24,12845,0,46.98
192236,2014-06-24,5197,0,27.62
192237,2014-06-25,11585,0,9.95
192238,2014-06-25,9164,0,45.87
192239,2014-06-25,12268,4.48,9.95
192240,2014-06-25,14437,0,34.95
192241,2014-06-25,568,0,33.55
192242,2014-06-25,3895,0,43.71
192243,2014-06-25,3032,0,9.95
192244,2014-06-25,14463,0,19.39
192245,2014-06-26,8270,0,9.95
192246,2014-06-26,13135,0,9.95
192247,2014-06-27,12198,0,9.95
192248,2014-06-27,12479,0,19.51
192249,2014-06-27,16237,0,49.4
192250,2014-06-27,16116,0,9.95
192251,2014-06-28,8061,0,34.21
192252,2014-06-28,9950,0,9.95
192253,2014-06-28,10535,0,9.95
192254,2014-06-28,13877,0,39.79
192255,2014-06-28,2208,0,27.14
192256,2014-06-28,11751,0,50.6
192257,2014-06-29,10975,0,28.04
192258,2014-06-29,6375,0,9.95
192259,2014-06-29,7781,0,27.34
192260,2014-06-29,9591,0,20.55
192261,2014-06-29,17733,0,9.95
192262,2014-06-29,11525,0,56.65
192263,2014-06-29,3731,0,9.95
192264,2014-06-29,12005,0,41.41
192265,2014-06-29,8251,10.64,26.94
192266,2014-06-29,13115,0,9.95
192267,2014-06-29,1291,0,9.95
192268,2014-06-30,12198,0,9.95
192269,2014-06-30,6568,0,9.95
192270,2014-06-30,1291,0,19.43
192271,2014-06-30,7924,0,9.95
192272,2014-06-30,9325,9.76,20.35
192273,2014-06-30,10139,0,9.95
192274,2014-06-30,17437,0,50.02
192275,2014-06-30,7038,0,54.82
192276,2014-06-30,7854,0,9.95
192277,2014-06-30,9527,27.12,43.49
192278,2014-07-01,7276,0,39.35
192279,2014-07-01,2507,0,9.95
192280,2014-07-01,9033,0,19.79
192281,2014-07-01,10685,0,9.95
192282,2014-07-01,5774,0,40.51
192283,2014-07-01,9410,0,20.91
192284,2014-07-01,13229,0,34.31
192285,2014-07-01,16953,0,9.95
192286,2014-07-01,16881,0,32.65
192287,2014-07-01,2554,0,9.95
192288,2014-07-01,1099,0,45.7
192289,2014-07-01,5622,0,28.46
192290,2014-07-01,7373,0,18.99
192291,2014-07-01,8838,0,9.95
192292,2014-07-02,14091,0,26.88
192293,2014-07-02,926,0,9.95
192294,2014-07-02,8072,0,9.95
192295,2014-07-02,15128,0,9.95
192296,2014-07-02,7148,0,9.95
192297,2014-07-02,17487,0,9.95
192298,2014-07-02,926,0,48.12
192299,2014-07-02,7111,0,43.69
192300,2014-07-02,14518,0,9.95
192301,2014-07-02,8214,0,9.95
192302,2014-07-03,5700,0,20.23
192303,2014-07-03,4447,0,9.95
192304,2014-07-03,15374,0,47.88
192305,2014-07-03,350,0,44.68
192306,2014-07-03,6074,2.56,9.95
192307,2014-07-03,2547,0,9.95
192308,2014-07-03,18123,0,41.51
192309,2014-07-04,3961,0,19.15
192310,2014-07-04,14044,0,34.23
192311,2014-07-04,12174,28.4,46.42
192312,2014-07-05,3642,0,9.95
192313,2014-07-05,5924,0,9.95
192314,2014-07-05,8466,0,43.99
192315,2014-07-05,15052,0,41.63
192316,2014-07-05,4215,0,32.35
192317,2014-07-05,17909,0,9.95
192318,2014-07-05,17690,0,38.71
192319,2014-07-05,9672,0,9.95
192320,2014-07-06,5549,0,37.05
192321,2014-07-06,6557,0,9.95
192322,2014-07-06,1021,0,9.95
192323,2014-07-06,16881,0,42.77
192324,2014-07-06,17710,0,9.95
192325,2014-07-06,13454,0,9.95
192326,2014-07-06,8277,0,20.33
192327,2014-07-06,6406,0,35.03
192328,2014-07-06,9029,0,9.95
192329,2014-07-07,16431,0,38.91
192330,2014-07-07,6918,0,42.07
192331,2014-07-08,15815,0,9.95
192332,2014-07-08,10121,0,54.47
192333,2014-07-08,15032,0,43.61
192334,2014-07-08,8138,0,20.27
192335,2014-07-08,9969,0,21.65
192336,2014-07-09,17996,0,9.95
192337,2014-07-09,9707,0,9.95
192338,2014-07-09,12198,0,9.95
192339,2014-07-09,7885,0,9.95
192340,2014-07-09,1976,0,9.95
192341,2014-07-09,5451,0,19.75
192342,2014-07-10,3631,0,54.63
192343,2014-07-10,7426,0,9.95
192344,2014-07-10,16335,0,37.71
192345,2014-07-10,6818,2.56,18.55
192346,2014-07-10,16550,0,53.4
192347,2014-07-10,16120,0,29.96
192348,2014-07-11,11575,0,43.23
192349,2014-07-11,15437,0,18.23
192350,2014-07-11,14846,0,45.66
192351,2014-07-11,16519,0,9.95
192352,2014-07-11,2146,0,28.6
192353,2014-07-12,379,0,53.79
192354,2014-07-12,5613,0,9.95
192355,2014-07-12,14315,0,40.49
192356,2014-07-12,6679,0,39.17
192357,2014-07-12,17573,0,48.62
192358,2014-07-12,10665,0,9.95
192359,2014-07-12,15584,0,36.63
192360,2014-07-12,16105,0,42.69
192361,2014-07-12,3528,0,9.95
192362,2014-07-12,3489,0,46.84
192363,2014-07-12,13168,0,42.65
192364,2014-07-12,15402,0,43.03
192365,2014-07-12,153,0,41.07
192366,2014-07-13,17357,0,47.32
192367,2014-07-13,4359,0,9.95
192368,2014-07-13,7861,6.24,19.47
192369,2014-07-13,1200,0,43.91
192370,2014-07-13,11580,0,9.95
192371,2014-07-13,9505,0,9.95
192372,2014-07-13,6842,0,43.91
192373,2014-07-14,11793,0,9.95
192374,2014-07-14,6203,0,38.39
192375,2014-07-14,13836,0,44.1
192376,2014-07-15,2280,0,9.95
192377,2014-07-15,12971,4,9.95
192378,2014-07-15,12508,0,9.95
192379,2014-07-15,15128,0,48.84
192380,2014-07-16,6449,0,39.61
192381,2014-07-16,13368,0,9.95
192382,2014-07-16,5196,0,37.33
192383,2014-07-17,6406,0,27.8
192384,2014-07-17,7983,0,9.95
192385,2014-07-17,13325,0,52.95
192386,2014-07-17,8576,0,50.78
192387,2014-07-17,9681,0,9.95
192388,2014-07-17,13102,2.4,9.95
192389,2014-07-17,8587,0,9.95
192390,2014-07-17,7051,0,9.95
192391,2014-07-17,815,0,40.17
192392,2014-07-17,11494,0,9.95
192393,2014-07-17,14245,0,52.5
192394,2014-07-17,16862,31.59,50.97
192395,2014-07-18,15500,0,9.95
192396,2014-07-18,5639,0,44.87
192397,2014-07-18,14617,0,34.57
192398,2014-07-18,17487,0,9.95
192399,2014-07-18,1129,0,40.17
192400,2014-07-18,4897,0,33.83
192401,2014-07-18,11793,0,46.78
192402,2014-07-19,3434,0,9.95
192403,2014-07-20,17713,0,9.95
192404,2014-07-20,12582,0,35.65
192405,2014-07-20,6138,0,27.54
192406,2014-07-20,17049,0,33.53
192407,2014-07-20,12033,0,51.16
192408,2014-07-20,144,0,9.95
192409,2014-07-20,18158,0,9.95
192410,2014-07-20,7232,0,32.33
192411,2014-07-21,1863,0,9.95
192412,2014-07-21,8812,0,9.95
192413,2014-07-21,9925,0,20.79
192414,2014-07-21,3367,3.2,9.95
192415,2014-07-21,6219,0,9.95
192416,2014-07-21,4884,0,48.88
192417,2014-07-22,8981,36.63,52.23
192418,2014-07-22,4230,0,42.35
192419,2014-07-22,9453,0,9.95
192420,2014-07-22,7163,0,19.51
192421,2014-07-22,15081,0,9.95
192422,2014-07-22,2064,0,50.85
192423,2014-07-23,225,0,9.95
192424,2014-07-23,7001,0,45.98
192425,2014-07-23,8465,0,48.14
192426,2014-07-23,832,0,9.95
192427,2014-07-23,15420,0,48.2
192428,2014-07-24,14919,0,9.95
192429,2014-07-24,16895,0,43.51
192430,2014-07-24,13836,0,20.31
192431,2014-07-24,16504,1.44,9.95
192432,2014-07-24,7761,0,9.95
192433,2014-07-24,1762,0,59.39
192434,2014-07-24,13641,0,9.95
192435,2014-07-25,15970,0,18.55
192436,2014-07-25,9140,0,9.95
192437,2014-07-25,10392,0,9.95
192438,2014-07-25,16624,0,9.95
192439,2014-07-25,4802,0,47.04
192440,2014-07-25,8975,0,9.95
192441,2014-07-25,3972,14.72,33.05
192442,2014-07-25,14381,0,9.95
192443,2014-07-25,5430,0,9.95
192444,2014-07-25,16495,0,9.95
192445,2014-07-26,17320,0,9.95
192446,2014-07-26,1958,0,9.95
192447,2014-07-26,15064,0,37.15
192448,2014-07-26,12823,20.55,44.46
192449,2014-07-26,13657,0,37.99
192450,2014-07-26,2856,0,46.16
192451,2014-07-27,2632,0,9.95
192452,2014-07-27,10184,0,9.95
192453,2014-07-27,17320,0,47.49
192454,2014-07-27,1884,0,43.63
192455,2014-07-27,13020,0,20.07
192456,2014-07-27,3032,0,9.95
192457,2014-07-27,9592,0,43.99
192458,2014-07-27,1885,0,39.89
192459,2014-07-27,2400,0,9.95
192460,2014-07-28,9957,0,32.67
192461,2014-07-28,9271,0,43.17
192462,2014-07-28,2795,0,9.95
192463,2014-07-28,5445,0,9.95
192464,2014-07-28,5740,0,44.51
192465,2014-07-28,656,0,32.25
192466,2014-07-28,15133,0,9.95
192467,2014-07-29,7813,0,41.33
192468,2014-07-29,14621,15.92,28.26
192469,2014-07-29,12173,32.88,47.54
192470,2014-07-29,13616,2.24,9.95
192471,2014-07-29,8736,4.16,9.95
192472,2014-07-30,8560,0,26.82
192473,2014-07-30,10469,0,9.95
192474,2014-07-30,7682,0,44.03
192475,2014-07-30,5135,0,49.32
192476,2014-07-30,12795,0,34.53
192477,2014-07-30,7662,7.36,19.75
192478,2014-07-30,5969,0,38.35
192479,2014-07-30,15393,0,9.95
192480,2014-07-31,16495,0,19.51
192481,2014-07-31,6548,0,9.95
192482,2014-07-31,8272,0,19.23
192483,2014-07-31,9107,0,43.41
192484,2014-08-01,3991,0,52.1
192485,2014-08-01,13325,0,9.95
192486,2014-08-01,3449,0,39.61
192487,2014-08-01,3521,0,44.86
192488,2014-08-02,4723,0,39.09
192489,2014-08-02,12393,0,53.21
192490,2014-08-03,17584,0,51.92
192491,2014-08-03,697,0,33.11
192492,2014-08-03,15471,28.88,48.62
192493,2014-08-04,15451,0,45.25
192494,2014-08-04,16785,0,37.87
192495,2014-08-04,16334,0,48.98
192496,2014-08-04,3356,0,9.95
192497,2014-08-04,16913,0,9.95
192498,2014-08-04,7181,0,19.85
192499,2014-08-04,17778,0,36.97
192500,2014-08-05,17231,0,44.69
192501,2014-08-05,3025,0,37.57
192502,2014-08-05,14695,0,49.84
192503,2014-08-05,10121,0,9.95
192504,2014-08-05,4897,0,20.35
192505,2014-08-05,2039,0,43.91
192506,2014-08-05,16008,0,34.41
192507,2014-08-05,18327,0,9.95
192508,2014-08-05,9768,0,29.02
192509,2014-08-06,7469,0,27.92
192510,2014-08-06,13168,0,9.95
192511,2014-08-06,1091,0,9.95
192512,2014-08-06,2287,0,9.95
192513,2014-08-06,727,5.2,9.95
192514,2014-08-06,7813,0,19.43
192515,2014-08-06,3097,0,39.73
192516,2014-08-06,15749,0,9.95
192517,2014-08-07,3843,0,9.95
192518,2014-08-07,4167,0,9.95
192519,2014-08-07,15939,7.68,9.95
192520,2014-08-07,9127,0,9.95
192521,2014-08-08,3113,0,52.52
192522,2014-08-08,16723,0,9.95
192523,2014-08-08,14932,0,41.61
192524,2014-08-08,18044,0,9.95
192525,2014-08-08,12861,0,9.95
192526,2014-08-08,9669,6.8,9.95
192527,2014-08-08,988,0,19.47
192528,2014-08-09,6258,0,52.91
192529,2014-08-10,2041,0,33.09
192530,2014-08-10,14830,0,38.99
192531,2014-08-10,525,0,41.55
192532,2014-08-10,16054,0,9.95
192533,2014-08-10,11722,0,46.16
192534,2014-08-10,1096,0,50.81
192535,2014-08-10,8628,0,31.63
192536,2014-08-10,17672,0,53.86
192537,2014-08-10,14514,0,31.81
192538,2014-08-10,1021,0,27.32
192539,2014-08-10,9909,0,47.9
192540,2014-08-10,10051,0,34.49
192541,2014-08-10,7761,0,56.01
192542,2014-08-11,15717,25.51,45.69
192543,2014-08-11,13317,0,47.66
192544,2014-08-12,14955,0,40.39
192545,2014-08-12,1758,0,40.79
192546,2014-08-12,14113,0,9.95
192547,2014-08-12,15655,0,47.64
192548,2014-08-12,18261,0,9.95
192549,2014-08-12,8474,0,51.24
192550,2014-08-12,10975,0,9.95
192551,2014-08-13,16490,0,25.42
192552,2014-08-13,9709,0,39.27
192553,2014-08-13,8103,0,48.4
192554,2014-08-13,10724,0,49.54
192555,2014-08-13,4785,0,9.95
192556,2014-08-13,3985,0,49.66
192557,2014-08-14,15717,17.76,41.15
192558,2014-08-14,12478,0,9.95
192559,2014-08-14,11607,0,19.87
192560,2014-08-14,1112,0,9.95
192561,2014-08-14,9368,0,38.89
192562,2014-08-16,7873,0,9.95
192563,2014-08-16,490,0,49.94
192564,2014-08-17,4820,0,44.33
192565,2014-08-17,2278,0,51.51
192566,2014-08-18,5656,0,44.29
192567,2014-08-18,15571,0,9.95
192568,2014-08-18,286,0,49.55
192569,2014-08-19,3176,0,9.95
192570,2014-08-19,14942,0,33.39
192571,2014-08-20,11331,0,9.95
192572,2014-08-21,3738,0,45.12
192573,2014-08-21,13272,0,9.95
192574,2014-08-21,14116,0,45.01
192575,2014-08-21,16613,0,9.95
192576,2014-08-21,9416,0,9.95
192577,2014-08-21,2298,0,22.71
192578,2014-08-21,4241,0,38.09
192579,2014-08-21,3452,0,9.95
192580,2014-08-21,3943,0,44.53
192581,2014-08-21,4616,0,32.89
192582,2014-08-21,8413,0,9.95
192583,2014-08-21,1112,0,19.47
192584,2014-08-21,8594,0,9.95
192585,2014-08-22,1889,5.84,9.95
192586,2014-08-22,7694,0,36.41
192587,2014-08-22,7769,0,9.95
192588,2014-08-22,5702,0,26.16
192589,2014-08-22,9679,0,29.08
192590,2014-08-22,2462,0,9.95
192591,2014-08-22,3176,0,20.51
192592,2014-08-23,14511,0,38.71
192593,2014-08-23,8885,0,9.95
192594,2014-08-23,9132,0,39.11
192595,2014-08-23,2165,0,20.71
192596,2014-08-23,13414,0,27.06
192597,2014-08-24,17132,0,43.53
192598,2014-08-24,13428,0,9.95
192599,2014-08-24,14710,0,9.95
192600,2014-08-24,10932,0,9.95
192601,2014-08-24,1096,0,50.08
192602,2014-08-24,7864,0,44.99
192603,2014-08-25,7287,0,38.93
192604,2014-08-25,144,0,20.91
192605,2014-08-25,10121,0,9.95
192606,2014-08-25,5314,0,9.95
192607,2014-08-26,1711,0,9.95
192608,2014-08-26,6926,6.4,9.95
192609,2014-08-26,7168,0,9.95
192610,2014-08-26,1655,0,47.34
192611,2014-08-27,6071,0,9.95
192612,2014-08-27,10619,0,9.95
192613,2014-08-27,13651,0,41.33
192614,2014-08-27,10826,0,9.95
192615,2014-08-27,2103,0,19.87
192616,2014-08-27,13528,5.2,9.95
192617,2014-08-27,17786,0,9.95
192618,2014-08-28,10632,0,9.95
192619,2014-08-28,5976,0,42.67
192620,2014-08-28,16504,29.36,44.05
192621,2014-08-28,8791,0,9.95
192622,2014-08-28,16495,0,9.95
192623,2014-08-28,675,0,39.07
192624,2014-08-29,15439,0,49.82
192625,2014-08-29,9800,0,9.95
192626,2014-08-29,14444,0,9.95
192627,2014-08-29,10088,0,9.95
192628,2014-08-30,2632,0,9.95
192629,2014-08-30,4803,0,50.95
192630,2014-08-30,11131,0,20.27
192631,2014-08-30,13088,0,37.29
192632,2014-08-30,17774,0,42.87
192633,2014-08-30,14447,0,9.95
192634,2014-08-30,350,0,9.95
192635,2014-08-30,3775,0,9.95
192636,2014-08-30,9442,0,27.86
192637,2014-08-31,282,0,9.95
192638,2014-08-31,13925,0,51.88
192639,2014-08-31,15651,0,9.95
192640,2014-08-31,15714,0,9.95
192641,2014-08-31,490,0,9.95
192642,2014-08-31,6171,1.84,9.95
192643,2014-08-31,5875,0,40.37
192644,2014-09-01,14631,0,9.95
192645,2014-09-01,9969,0,26.22
192646,2014-09-01,15199,0,9.95
192647,2014-09-01,12920,0,47.12
192648,2014-09-01,10552,0,46.68
192649,2014-09-01,17279,0,9.95
192650,2014-09-01,11631,0,9.95
192651,2014-09-02,8115,0,9.95
192652,2014-09-02,11718,0,44.41
192653,2014-09-02,3771,0,9.95
192654,2014-09-03,17690,0,9.95
192655,2014-09-03,3675,1.76,9.95
192656,2014-09-03,12263,0,37.81
192657,2014-09-03,7825,0,43.41
192658,2014-09-03,3338,0,9.95
192659,2014-09-03,7167,0,9.95
192660,2014-09-04,8469,0,48.6
192661,2014-09-04,15670,0,9.95
192662,2014-09-04,11141,0,9.95
192663,2014-09-04,5408,0,28.44
192664,2014-09-04,304,0,9.95
192665,2014-09-04,11178,0,9.95
192666,2014-09-04,6591,0,52.08
192667,2014-09-04,6074,9.6,20.31
192668,2014-09-04,8744,0,9.95
192669,2014-09-05,14793,0,9.95
192670,2014-09-05,15071,0,9.95
192671,2014-09-05,11333,0,9.95
192672,2014-09-05,15956,2.64,9.95
192673,2014-09-05,14005,0,34.87
192674,2014-09-06,11813,0,40.25
192675,2014-09-06,6542,0,41.05
192676,2014-09-06,730,2.4,9.95
192677,2014-09-07,2778,0,9.95
192678,2014-09-07,11454,34.24,45.27
192679,2014-09-07,8587,0,38.33
192680,2014-09-07,12861,0,9.95
192681,2014-09-07,3612,0,33.55
192682,2014-09-07,9181,0,46.89
192683,2014-09-08,11411,0,32.89
192684,2014-09-08,13850,0,9.95
192685,2014-09-08,8126,0,18.51
192686,2014-09-08,450,0,9.95
192687,2014-09-08,15128,0,49.38
192688,2014-09-08,653,0,9.95
